JD,mag,err
26.337,11.8415,0.005
26.338,11.841,0.005
26.342,11.857,0.0055
26.343,11.824,0.005
26.345,11.835,0.005
26.346,11.844,0.0055
26.348,11.826,0.005
26.349,11.844,0.005
26.353,11.856,0.005
26.354,11.847,0.005
26.356,11.839,0.005
26.357,11.847,0.0055
26.36,11.84733333,0.005333333
26.364,11.84,0.005
26.365,11.849,0.005
26.367,11.842,0.006
26.368,11.8475,0.006
26.372,11.8415,0.006
26.373,11.851,0.005
26.375,11.8525,0.006
26.376,11.854,0.006
26.378,11.836,0.005
26.379,11.8365,0.005
26.383,11.8435,0.0055
26.384,11.835,0.005
26.386,11.858,0.005
26.387,11.826,0.005
26.39,11.83833333,0.006333333
26.394,11.8485,0.0055
26.395,11.847,0.005
26.397,11.847,0.005
26.398,11.862,0.007
26.822,11.854,0.008
26.823,11.852,0.0085
26.824,11.849,0.006
26.825,11.851,0.006
26.826,11.85,0.003
26.827,11.857,0.01
26.828,11.85,0.004
26.829,11.8545,0.006
26.83,11.86,0.01
26.831,11.863,0.007
26.832,11.872,0.008
26.833,11.8555,0.004
26.834,11.856,0.009
26.835,11.856,0.007
26.836,11.851,0.0035
26.837,11.85,0.002
26.838,11.85,0.011
26.839,11.854,0.003
26.84,11.85,0.016
26.841,11.855,0.007
26.842,11.844,0.011
26.843,11.853,0.0085
26.844,11.855,0.002
26.845,11.849,0.006
26.846,11.854,0.005
26.847,11.8535,0.0075
26.848,11.853,0.007
26.849,11.854,0.007
26.85,11.856,0.0055
26.851,11.853,0.007
26.852,11.845,0.008
26.853,11.8495,0.007
26.854,11.85,0.006
26.855,11.85,0.002
26.856,11.847,0.0055
26.857,11.847,0.006
26.858,11.851,0.002
26.859,11.8445,0.003
26.86,11.848,0.009
26.861,11.844,0.008
26.862,11.8495,0.003
26.863,11.845,0.004
26.864,11.85,0.005
26.865,11.8455,0.004
26.866,11.851,0.006
26.867,11.847,0.003
26.868,11.852,0.004
26.869,11.843,0.0035
26.87,11.842,0.005
26.871,11.851,0.007
26.872,11.8495,0.004
26.873,11.853,0.01
26.874,11.851,0.006
26.875,11.848,0.014
26.876,11.849,0.007
26.877,11.847,0.008
26.878,11.848,0.01
26.879,11.8475,0.0075
26.88,11.851,0.007
26.881,11.848,0.002
26.882,11.8475,0.004
26.883,11.86,0.007
26.884,11.855,0.006
26.885,11.847,0.0095
26.886,11.846,0.008
26.887,11.842,0.002
26.888,11.847,0.006
26.889,11.8525,0.003
26.89,11.846,0.007
26.891,11.843,0.006
26.892,11.839,0.005
26.893,11.846,0.003
26.894,11.828,0.0085
26.895,11.82571429,0.005571429
26.896,11.826,0.007
26.897,11.8226,0.0058
26.898,11.82316667,0.005666667
26.899,11.8234,0.006
26.9,11.8216,0.0052
26.901,11.827,0.005
26.902,11.8234,0.0052
26.903,11.8274,0.0064
26.904,11.82485714,0.004571429
26.905,11.824,0.0044
26.906,11.8234,0.0048
26.907,11.8315,0.0065
26.908,11.8258,0.0054
26.909,11.8218,0.0052
26.91,11.8186,0.005
