JD,mag,err
228.17773,11.436,0.001
228.19001,11.438,0.001
228.20229,11.454,0.001
228.21454,11.436,0.001
228.2268,11.438,0.002
228.23908,11.436,0.002
228.25132,11.436,0.001
228.26359,11.437,0.001
230.16985,11.439,0.002
230.18151,11.439,0.001
230.19322,11.435,0.001
230.2049,11.438,0.001
230.21659,11.445,0.001
230.22828,11.437,0.001
230.23993,11.436,0.001
230.25161,11.436,0.001
230.26328,11.431,0.001
230.27494,11.445,0.001
230.28662,11.436,0.001
230.29831,11.444,0.001
230.31001,11.438,0.001
230.32168,11.439,0.001
231.95136,11.463,0.004
231.95162,11.464,0.004
231.95185,11.463,0.004
231.95209,11.47,0.004
231.95232,11.467,0.004
235.30715,11.445,0.02
236.24163,11.479,0.02
236.36424,11.491,0.02
236.43335,11.499,0.02
237.24691,11.464,0.02
237.30064,11.477,0.02
237.37052,11.483,0.02
237.44038,11.495,0.02
237.90355,11.458,0.006
237.9038,11.46,0.006
237.90405,11.463,0.006
237.90428,11.456,0.006
237.90452,11.456,0.006
238.2468,11.476,0.02
238.29052,11.481,0.02
238.36033,11.479,0.02
238.43018,11.485,0.02
239.24259,11.49,0.02
239.29627,11.508,0.02
239.36602,11.498,0.02
239.43582,11.502,0.02
240.24251,11.482,0.02
240.2861,11.484,0.02
240.35606,11.487,0.02
240.42578,11.492,0.02
241.24252,11.483,0.02
241.2861,11.476,0.02
241.35561,11.48,0.02
241.42536,11.488,0.02
243.23076,11.431,0.02
243.28428,11.408,0.02
243.35405,11.465,0.02
243.42371,11.411,0.02
243.89965,11.453,0.005
243.89989,11.445,0.005
243.90013,11.466,0.005
243.90037,11.46,0.004
243.90061,11.456,0.005
247.90424,11.459,0.005
247.9045,11.461,0.004
247.90473,11.462,0.004
247.90497,11.463,0.004
247.90522,11.445,0.004
251.15165,11.461,0.004
251.16409,11.459,0.004
251.17634,11.459,0.003
251.18837,11.452,0.003
251.20042,11.459,0.003
251.21243,11.458,0.003
251.2245,11.46,0.003
255.91784,11.465,0.003
255.91809,11.459,0.004
255.91833,11.461,0.004
255.91857,11.465,0.004
255.91882,11.458,0.003
262.20889,11.418,0.02
262.27886,11.447,0.02
262.34871,11.437,0.02
262.44277,11.498,0.02
263.21127,11.425,0.02
263.28067,11.47,0.02
263.35015,11.459,0.02
263.44349,11.46,0.02
263.90678,11.455,0.003
263.90704,11.46,0.003
263.90729,11.468,0.003
263.90753,11.455,0.003
263.90776,11.461,0.003
264.2095,11.467,0.02
264.27921,11.443,0.02
264.34897,11.501,0.02
264.44275,11.501,0.02
265.19606,11.466,0.02
265.23975,11.461,0.02
265.30968,11.379,0.02
265.37971,11.475,0.02
266.20273,11.421,0.02
266.29468,11.496,0.02
266.36474,11.499,0.02
266.89882,11.456,0.004
266.89907,11.464,0.004
266.8993,11.458,0.004
266.89954,11.456,0.004
266.89979,11.463,0.004
267.22136,11.368,0.02
267.36744,11.484,0.02
270.91788,11.46,0.004
270.91812,11.461,0.004
270.91836,11.464,0.004
270.91861,11.457,0.004
270.91885,11.456,0.004
272.91339,11.459,0.004
272.91369,11.462,0.004
272.91393,11.457,0.004
272.91417,11.462,0.004
272.91442,11.451,0.004
275.89004,11.446,0.004
275.89077,11.462,0.004
275.89148,11.465,0.003
275.8922,11.457,0.003
275.89291,11.457,0.003
277.9128,11.452,0.005
277.91305,11.449,0.004
277.91329,11.457,0.004
277.91353,11.459,0.004
277.91377,11.455,0.004
278.18563,11.479,0.02
278.2557,11.485,0.02
281.17893,11.483,0.02
286.91152,11.472,0.022
286.91178,11.492,0.028
286.91202,11.477,0.046
286.91225,11.34,0.073
286.9125,11.562,0.077
288.90716,11.469,0.004
288.90741,11.464,0.003
288.90766,11.462,0.003
288.9079,11.46,0.003
288.90814,11.462,0.003
292.16931,11.492,0.004
292.16973,11.498,0.003
292.17015,11.491,0.003
292.17455,11.498,0.004
292.17497,11.482,0.003
292.1754,11.496,0.004
292.17979,11.485,0.003
292.18022,11.495,0.004
292.18064,11.484,0.003
292.18503,11.491,0.004
292.18546,11.494,0.004
292.18588,11.489,0.004
292.19028,11.487,0.004
292.1907,11.49,0.004
292.19112,11.488,0.003
292.19551,11.497,0.004
292.19594,11.493,0.004
292.19636,11.492,0.004
292.20076,11.499,0.004
292.20118,11.488,0.004
292.2016,11.49,0.003
292.206,11.492,0.004
292.20642,11.496,0.004
292.20684,11.497,0.004
292.21123,11.493,0.004
292.21166,11.494,0.004
292.21208,11.495,0.004
292.21648,11.489,0.004
292.2169,11.492,0.004
292.21732,11.483,0.004
292.22173,11.498,0.004
292.22215,11.494,0.004
292.22257,11.494,0.004
292.22697,11.489,0.004
292.22739,11.487,0.004
292.22781,11.495,0.004
292.23221,11.492,0.004
292.23263,11.494,0.004
292.23305,11.485,0.004
292.23745,11.494,0.004
292.23787,11.49,0.004
292.23829,11.487,0.004
292.24269,11.486,0.004
292.24312,11.488,0.004
292.24354,11.492,0.004
292.24794,11.489,0.004
292.24836,11.488,0.004
292.24878,11.49,0.004
292.25318,11.489,0.004
292.25361,11.496,0.004
292.25403,11.493,0.004
292.25843,11.491,0.004
292.25885,11.485,0.004
292.25927,11.486,0.004
292.26367,11.496,0.004
292.2641,11.488,0.004
292.26452,11.486,0.004
292.26892,11.492,0.004
292.26934,11.492,0.004
292.26976,11.497,0.004
292.27416,11.493,0.004
292.27458,11.495,0.004
292.275,11.485,0.004
292.2794,11.492,0.004
292.27983,11.485,0.004
292.28025,11.5,0.004
292.28465,11.492,0.004
292.28507,11.495,0.004
292.28549,11.49,0.004
292.28989,11.497,0.004
292.29031,11.494,0.004
292.29073,11.485,0.004
292.29514,11.485,0.004
292.29555,11.498,0.004
292.29598,11.489,0.004
292.30038,11.493,0.004
292.3008,11.492,0.004
292.30122,11.488,0.004
292.30563,11.503,0.004
292.30605,11.489,0.004
292.30648,11.509,0.004
292.31087,11.489,0.004
292.3113,11.488,0.004
292.31172,11.49,0.004
292.31612,11.487,0.004
292.31654,11.487,0.004
292.31696,11.499,0.004
292.32137,11.493,0.004
292.32179,11.498,0.004
292.32221,11.493,0.004
292.32661,11.487,0.004
292.32703,11.499,0.004
292.32745,11.488,0.004
292.33184,11.49,0.004
292.33227,11.489,0.004
292.33268,11.486,0.004
292.33708,11.489,0.004
292.33751,11.505,0.004
292.33792,11.491,0.004
292.34232,11.488,0.004
292.34274,11.497,0.004
292.34317,11.49,0.004
292.34756,11.485,0.004
292.34798,11.492,0.004
292.34841,11.499,0.004
292.3528,11.487,0.004
292.35323,11.494,0.004
292.35365,11.488,0.004
292.35805,11.494,0.004
292.35847,11.495,0.004
292.35889,11.511,0.004
292.36329,11.502,0.004
292.36371,11.494,0.004
292.36413,11.504,0.005
300.15474,11.481,0.02
300.22452,11.487,0.02
300.30833,11.495,0.02
300.40264,11.487,0.02
301.1654,11.491,0.02
301.23516,11.499,0.02
301.32912,11.502,0.02
303.90536,11.328,0.004
304.17942,11.446,0.08
306.07285,11.479,0.086
306.08557,11.446,0.002
306.09678,11.445,0.002
306.10798,11.442,0.002
306.11921,11.448,0.002
306.13045,11.449,0.002
306.14169,11.453,0.002
306.15293,11.444,0.002
306.16415,11.446,0.002
306.17538,11.449,0.002
306.18661,11.45,0.002
306.19784,11.45,0.002
306.20906,11.447,0.002
308.0781,11.44,0.038
308.0781,11.442,0.068
310.10112,11.481,0.074
310.89115,11.455,0.003
311.0782,11.476,0.079
311.0782,11.483,0.079
311.85695,11.458,0.004
311.85713,11.463,0.004
311.85732,11.469,0.004
311.8575,11.471,0.004
311.85769,11.459,0.004
313.82587,11.462,0.005
313.82658,11.467,0.005
313.82729,11.458,0.005
313.82801,11.464,0.004
313.82872,11.459,0.004
313.82943,11.457,0.004
313.83015,11.466,0.004
313.83087,11.458,0.004
313.83158,11.463,0.004
313.83229,11.464,0.004
313.83301,11.468,0.004
313.83372,11.453,0.004
313.83443,11.463,0.004
313.83514,11.469,0.004
313.83586,11.46,0.004
313.83658,11.461,0.004
313.83728,11.46,0.004
313.838,11.466,0.004
313.83872,11.471,0.004
313.83943,11.468,0.004
313.84014,11.471,0.004
313.84086,11.463,0.004
313.84156,11.46,0.004
313.84228,11.471,0.004
313.84299,11.455,0.005
313.84371,11.467,0.004
313.84442,11.466,0.004
313.84513,11.464,0.004
313.84585,11.467,0.004
313.84655,11.464,0.004
313.84727,11.469,0.004
313.84798,11.458,0.004
313.84869,11.486,0.005
313.84941,11.502,0.005
313.85012,11.465,0.004
313.85084,11.462,0.004
313.85154,11.461,0.004
313.85226,11.467,0.005
313.85298,11.468,0.005
313.85368,11.475,0.005
313.8544,11.464,0.004
313.85511,11.466,0.005
313.85582,11.458,0.004
313.85654,11.468,0.005
313.85725,11.464,0.005
313.85796,11.467,0.004
313.85867,11.466,0.004
313.85939,11.474,0.004
313.86009,11.465,0.004
313.86081,11.468,0.004
313.86153,11.472,0.004
313.86224,11.466,0.005
313.86295,11.469,0.005
313.86366,11.474,0.004
313.86437,11.464,0.005
313.86508,11.464,0.005
313.86579,11.467,0.005
313.86651,11.466,0.005
313.86721,11.469,0.005
313.86793,11.465,0.005
313.86864,11.468,0.005
313.86935,11.466,0.005
313.87006,11.461,0.005
313.87078,11.468,0.005
313.87148,11.467,0.005
313.8722,11.472,0.005
313.87291,11.469,0.005
313.87361,11.475,0.005
313.87433,11.469,0.005
313.87504,11.462,0.005
313.87574,11.465,0.005
313.87645,11.472,0.005
313.87715,11.466,0.005
313.87787,11.468,0.005
313.87858,11.467,0.005
313.87928,11.472,0.005
313.87999,11.47,0.005
313.8807,11.464,0.005
313.8814,11.47,0.005
313.88211,11.468,0.005
313.88281,11.466,0.005
313.88352,11.466,0.005
313.88424,11.47,0.005
313.88494,11.464,0.005
313.88565,11.468,0.004
313.88636,11.466,0.004
313.88706,11.462,0.004
313.88777,11.475,0.004
313.88847,11.469,0.004
313.88918,11.468,0.004
313.8899,11.464,0.004
313.8906,11.46,0.004
313.8913,11.47,0.004
313.89202,11.465,0.004
313.89271,11.465,0.004
313.89342,11.463,0.004
313.89412,11.462,0.004
313.89483,11.468,0.005
313.89553,11.461,0.004
313.89624,11.467,0.005
313.89695,11.468,0.005
313.89765,11.464,0.005
313.89838,11.465,0.005
313.89909,11.462,0.005
313.89979,11.469,0.005
313.9005,11.472,0.004
313.90119,11.472,0.004
313.9019,11.477,0.004
313.90261,11.465,0.004
313.90331,11.466,0.004
313.90402,11.467,0.004
313.90472,11.468,0.004
313.90543,11.473,0.004
313.90614,11.474,0.004
313.90684,11.47,0.004
313.90755,11.466,0.004
313.90825,11.462,0.004
313.90896,11.475,0.004
313.90967,11.458,0.004
313.91036,11.468,0.004
313.91107,11.472,0.004
313.91177,11.467,0.004
313.91248,11.466,0.004
313.91318,11.479,0.004
313.91389,11.478,0.004
313.9146,11.467,0.004
313.9153,11.464,0.004
313.91601,11.462,0.004
313.91671,11.452,0.005
313.91741,11.455,0.005
313.91812,11.465,0.004
313.91882,11.462,0.004
313.91953,11.477,0.005
313.92024,11.467,0.005
313.92094,11.468,0.004
313.92165,11.472,0.004
313.92236,11.463,0.004
313.92307,11.468,0.005
313.92377,11.466,0.005
313.92448,11.472,0.005
313.92519,11.464,0.005
313.92589,11.47,0.005
313.92659,11.471,0.005
313.92729,11.462,0.005
313.92801,11.46,0.005
313.92871,11.456,0.005
313.92941,11.459,0.005
313.93012,11.466,0.005
313.93084,11.473,0.004
313.93154,11.468,0.004
313.93225,11.472,0.004
313.93295,11.461,0.004
313.93366,11.46,0.004
313.93437,11.466,0.004
313.93578,11.477,0.005
313.93648,11.467,0.004
313.93719,11.464,0.004
313.9379,11.481,0.004
313.9386,11.463,0.004
313.93931,11.466,0.004
313.94001,11.466,0.004
313.94072,11.469,0.004
313.94143,11.467,0.004
313.94213,11.466,0.004
313.94284,11.474,0.004
313.94354,11.469,0.004
313.94425,11.468,0.004
313.94496,11.471,0.004
313.94566,11.465,0.004
313.94637,11.47,0.004
313.94706,11.465,0.004
313.94777,11.469,0.004
313.94847,11.473,0.004
313.94918,11.474,0.004
313.94989,11.472,0.004
313.95059,11.467,0.004
313.9513,11.468,0.004
313.952,11.468,0.004
